Name,Age,Employment_Years,Annual_Income,Credit_Score,Loan_Amount,Loan_Purpose,Past_Defaults,Has_Criminal_Record,Loan_Approved
Robert Henry,47,18,63269.93,343,34562.41,Education,2,0,0
Charles Fischer,58,29,50956.78,424,14922.38,Car,0,1,0
Curtis Sparks,51,13,74158.01,740,20829.93,Personal,0,1,0
Brittany Nelson,38,4,41160.93,365,33499.98,Home,4,0,0
Nicole Walker,44,14,78954.27,648,36590.36,Education,3,1,0
Frank Ballard,58,24,55171.58,388,14877.33,Home,1,0,0
Tamara Vance,49,15,99183.41,403,30862.38,Home,0,0,0
Miranda Roy,33,6,77676.28,359,15721.35,Car,3,1,0
Christopher Holmes,43,3,95642.47,696,7512.14,Personal,0,1,0
Ashley Ward,45,0,92526.37,517,22018.58,Business,0,0,0
Travis Cox,65,16,111668.21,507,48372.93,Personal,0,0,0
Bruce Mitchell,54,8,127410.48,443,37876.16,Home,3,1,0
Timothy Bailey,50,24,109999.01,770,32535.14,Education,0,0,1
Michael Green,46,7,34022.7,399,38316.22,Car,5,1,0
Tracy Boyer,54,19,133008.45,479,12207.38,Personal,5,1,0
Amber Stein,34,13,143635.4,619,5988.57,Home,3,0,0
Catherine Brown,35,3,143963.76,823,40206.52,Education,0,0,1
Brandi Williamson,22,0,102633.73,618,28003.01,Personal,0,0,0
Cynthia Owens,21,0,112010.01,838,44217.98,Personal,1,0,1
Brian Wolfe,31,0,137183.92,792,24175.74,Home,4,1,0
Drew Miller,44,7,81648.93,817,23320.4,Business,1,1,0
Dawn Bell,34,5,138855.63,480,47987.43,Education,2,1,0
Kelly Pearson,62,8,50291.15,738,21467.71,Home,5,0,0
Joe Mccoy,61,27,62317.2,654,16268.07,Business,1,1,0
Katie Vargas,48,4,148683.72,332,20994.84,Car,4,0,0
Kyle Murphy,33,11,110865.37,394,34807.29,Business,3,0,0
Joshua Mcdaniel,51,19,59311.75,680,13427.93,Personal,0,0,0
Kimberly Walls,37,5,64516.3,770,16153.57,Car,0,1,0
Kimberly Gaines,63,35,35329.78,694,38873.7,Home,0,1,0
Rebecca Johnson,62,2,62401.99,452,46373.32,Business,4,1,0
Hannah Hopkins,37,10,135834.3,356,11019.53,Business,5,0,0
Kurt Jarvis,51,12,73752.12,814,8525.36,Education,1,1,0
Mark Castillo,55,12,129530.02,449,42323.38,Education,2,0,0
Paul Orr,40,12,146259.86,720,16428.43,Business,4,0,1
Lisa Gibson,37,3,139430.21,392,23994.89,Education,5,1,0
Gabriel Wilkinson,41,7,20422.27,425,18998.5,Home,4,1,0
Vanessa Butler,38,0,72287.25,385,11641.2,Education,1,0,0
Michael Hill,35,5,69849.21,500,47729.65,Home,5,1,0
Hunter Wagner,34,2,75980.63,838,37407.71,Car,4,0,0
Theresa Newton,49,27,23957.98,615,27526.66,Education,0,0,0
Samuel Andrews,34,0,149901.67,701,29710.4,Business,2,1,0
Steven Roy,31,7,136678.25,319,8237.86,Home,1,1,0
Cristian Robinson,40,15,51020.37,545,48341.89,Business,4,1,0
Amanda Hunt,31,0,79220.48,759,40031.02,Business,2,0,0
Todd Adkins,51,3,100290.61,546,27638.08,Home,0,0,0
Eric Sims,55,25,82605.02,771,28111.55,Car,1,0,1
Bryan Arnold,60,11,46790.98,317,45967.2,Education,0,1,0
Hannah Freeman,43,22,130813.32,378,43589.4,Home,0,1,0
Charlotte Washington,40,4,55940.17,460,38845.58,Car,0,0,0
Ryan Jones,58,37,144488.56,504,21252.16,Home,5,1,0
Michael Graves,58,0,123325.57,335,43699.7,Personal,0,1,0
Anne Freeman,39,17,110041.95,389,13420.66,Home,3,0,0
Kathleen Moss,35,12,89097.0,569,41511.24,Personal,4,0,0
Jose Arnold,60,25,139830.24,442,31272.2,Car,5,1,0
Joseph Robinson,28,6,72827.36,618,45673.84,Home,0,1,0
Drew Wade,57,22,74388.28,588,36719.26,Car,4,1,0
Shannon Smith,38,8,45871.63,530,6418.59,Car,0,1,0
Christopher Perkins,42,12,79021.95,574,44969.74,Education,0,1,0
Johnny Perry,41,15,104416.04,701,31845.55,Personal,2,0,0
Amy Robinson,45,18,110144.97,659,11068.13,Personal,5,1,0
Eugene Jarvis,31,3,114233.44,798,43078.73,Business,2,1,0
Curtis Davenport,51,18,105591.46,322,41822.06,Home,3,1,0
William Beck,26,0,23928.1,306,37496.6,Education,5,0,0
Wendy Brown,54,13,116988.97,566,6727.94,Home,5,1,0
Kaylee Ellis,23,3,149656.28,592,17909.76,Education,0,0,1
Shannon Sweeney,34,1,115129.6,648,48408.48,Personal,0,1,0
Stephanie Schmidt,44,20,78875.35,705,29611.91,Business,5,0,0
Andrea Hoffman,46,4,110538.95,764,49976.66,Car,0,1,0
Jose Hansen,21,1,112832.39,346,21372.02,Car,4,0,0
Miguel Thomas,49,25,132783.49,403,28685.41,Personal,2,0,0
Lisa Edwards,32,7,79402.8,356,32445.91,Personal,4,0,0
Natalie Rowe MD,61,31,94489.28,803,9093.4,Home,3,1,0
Tiffany Fernandez,21,1,93001.49,696,27497.9,Education,3,1,0
Jason Neal,30,9,61734.1,499,25894.54,Education,0,0,0
Karen Jimenez,33,13,76282.59,462,46712.37,Business,1,1,0
Ralph Rivera,37,16,134855.78,357,11358.2,Business,0,0,0
Erin Short,44,6,97692.78,394,10452.89,Education,1,1,0
Miranda Hernandez,39,7,59151.29,338,8962.67,Home,3,1,0
Dennis Morales,34,11,56336.67,763,13916.9,Home,4,0,0
Ronald Hughes,62,25,65925.39,521,27757.01,Education,1,0,0
Carol Contreras,24,1,131385.99,659,49799.33,Car,5,0,0
Tracy Brown,45,22,33544.85,530,42170.92,Personal,0,0,0
Bob Gill,52,4,119210.12,734,28351.32,Car,5,0,0
Jacob Nunez,59,24,121126.38,319,41141.24,Home,4,0,0
Amanda Castro,39,18,68120.91,413,22838.01,Personal,5,1,0
Tracey Franklin,24,1,139019.31,653,22286.63,Personal,4,1,0
Brittany Johnson,47,8,41436.6,707,45337.44,Business,2,0,0
Dominic Romero,52,7,48650.99,468,22540.66,Home,3,0,0
Jennifer Fox,47,11,40470.22,542,7508.73,Education,4,1,0
Linda Bradford,39,0,137869.0,726,26742.09,Personal,5,0,0
John Shepard,47,11,78191.26,591,42592.04,Home,0,0,0
Brian Hernandez,37,13,145751.91,411,32171.25,Home,5,1,0
Sandra Young,30,8,43314.29,477,38382.53,Personal,4,0,0
Taylor Williams,36,1,34100.01,446,8527.26,Education,5,1,0
Rebekah Hogan,28,0,61855.42,592,43515.96,Education,3,0,0
Nicholas Preston,38,14,111723.1,445,29846.43,Personal,4,0,0
Robert Evans,31,3,35276.14,592,49969.49,Personal,0,1,0
Jean Silva,32,1,71731.43,697,48985.24,Education,5,1,0
Katherine Rivas,40,18,74226.49,546,48734.73,Business,0,0,0
William Davis,41,4,69918.88,519,23550.69,Business,1,1,0
Johnathan Smith,55,14,71582.39,780,35164.17,Home,5,1,0
Lorraine Walters,53,2,149741.82,312,40859.29,Personal,1,0,0
Cheryl James,64,29,142033.98,744,44771.21,Personal,0,1,1
Bryan Franklin,65,39,42254.91,758,21827.91,Personal,5,1,0
Bradley Gaines,35,0,83671.51,557,28983.29,Home,5,0,0
Johnny Arias,30,4,114517.12,740,28288.04,Home,5,1,0
Randy Gibson,46,14,29268.13,675,24352.59,Education,5,0,0
Joseph Allen,29,0,105624.35,430,36820.53,Car,3,1,0
Joseph Leon,62,20,89688.8,608,9951.69,Home,0,1,0
Amy Chang,52,14,44382.29,377,22412.33,Home,0,1,0
David Spencer,63,7,133843.14,760,14139.51,Personal,5,0,0
Christina Mcmillan DDS,45,0,26388.16,679,25335.23,Education,1,0,0
Tammy Lopez,36,15,122560.75,481,15502.37,Personal,4,0,0
Scott Joyce,55,7,97871.81,553,20302.62,Car,4,1,0
Linda Robinson,23,1,29280.36,536,47106.84,Education,3,0,0
Frank Shelton,21,1,69208.48,523,21672.96,Personal,1,1,0
Tricia Wilson,64,4,112886.21,497,24804.67,Personal,3,1,0
Jennifer Sharp,33,1,59940.74,809,19454.41,Car,5,0,0
Regina Sanchez,43,9,42946.77,734,37804.79,Car,3,0,0
Dawn Russo,58,28,49132.72,761,22979.64,Education,4,0,0
Faith Evans,31,10,62986.11,367,45431.67,Business,0,0,0
David Ferguson,44,16,122792.34,435,45880.81,Education,5,0,0
Raymond Flynn,30,4,56608.44,631,44366.66,Home,1,0,0
Amy Oliver,39,1,91043.63,324,29529.85,Education,5,1,0
Christina Johnson,23,1,105813.65,799,25866.97,Personal,5,1,0
Catherine Hogan,27,5,130719.5,306,48465.46,Personal,4,0,0
Ruth Turner,32,5,119212.76,743,49185.82,Car,1,0,1
Roy Boone,33,13,82370.33,714,13075.99,Personal,3,1,0
Jessica Miller,47,18,31371.43,809,38332.2,Car,3,1,0
Chad Washington,27,0,28684.19,651,34512.6,Education,3,0,0
Thomas Adams,55,9,113793.25,846,17360.41,Car,0,0,1
Angela Hicks,21,1,94467.05,415,30987.96,Home,2,1,0
Alexander Hess,36,1,80375.41,685,7757.21,Home,0,0,0
Sarah Donovan,23,2,39488.11,520,40671.45,Education,2,1,0
Michael Moore,28,6,52643.68,712,17369.45,Home,1,0,0
Ashley Quinn,36,1,107181.55,463,11057.12,Business,5,1,0
Ashley Kent,51,31,74172.71,543,33628.31,Business,2,0,0
Jessica Bell,38,3,132707.81,472,43785.7,Business,5,0,0
John Chambers,65,17,74091.17,400,48008.49,Home,5,1,0
Ryan Norris,32,1,51706.19,831,24829.96,Car,5,1,0
Joe Hubbard,52,13,72143.4,303,6238.0,Home,4,0,0
Patrick Myers,62,7,68975.01,345,39320.31,Car,3,0,0
Hannah Thompson,43,9,99475.14,380,42586.53,Car,0,0,0
Natasha Butler,34,11,57480.21,717,10070.54,Car,5,0,0
Brittany Salazar,27,7,102451.91,653,31028.78,Personal,0,0,0
Douglas Cervantes,53,3,80225.53,674,29164.45,Car,3,1,0
Danielle Miranda,26,0,138844.16,745,11891.28,Car,3,0,0
Sandra Stanley,43,15,83305.48,645,29900.07,Education,0,1,0
Christopher Rodriguez,26,6,132111.57,786,16873.23,Business,4,1,0
Joyce Mooney,27,5,95479.75,315,39363.16,Business,3,0,0
Lisa Rodriguez,53,29,72397.02,359,25887.12,Business,2,0,0
John Wells,57,37,51672.09,649,35782.87,Home,3,1,0
Jessica Wong,38,18,70655.38,822,28034.85,Personal,3,0,0
Lauren Winters,60,2,60657.31,699,45861.77,Car,2,0,0
Steven Miller,40,20,48697.1,480,10309.33,Business,3,0,0
Paul Montoya,48,23,145626.45,790,43419.45,Education,1,1,1
Bridget Graves,38,4,63516.68,825,26829.01,Personal,3,0,0
Julie Graves,24,3,20531.41,441,46088.04,Home,0,0,0
Zachary Hernandez,29,2,29526.21,595,17838.83,Home,4,1,0
Alice Barron,34,1,55893.65,591,23784.12,Personal,5,0,0
Teresa Ramsey,26,5,129020.29,696,46390.61,Education,3,0,0
James Conway,59,17,27593.06,790,31769.87,Car,0,0,0
Rachel Mcdonald,38,6,57570.11,771,6153.22,Education,1,1,0
Amanda Price,60,24,111339.25,344,31203.59,Education,5,1,0
Sarah Abbott,27,6,69960.05,727,37674.79,Business,1,1,0
Debra Payne,37,16,61103.48,733,16209.97,Car,3,1,0
Leslie Edwards,49,15,141423.32,648,32599.04,Personal,1,0,1
Christopher Taylor,38,2,109409.21,727,34373.91,Personal,2,1,0
Rachel Suarez,51,20,143512.24,369,12526.58,Car,4,1,0
Kristin Patrick,23,2,60020.14,301,28817.75,Business,3,1,0
Christina Young,37,4,57112.49,531,44653.15,Car,0,0,0
Todd Harper,32,3,110717.47,317,36852.13,Personal,2,0,0
Mark Jones,60,16,51987.24,327,43848.7,Business,4,1,0
Brian Davis,62,39,108870.47,406,49176.12,Home,5,1,0
Donna Olsen,44,0,122908.27,646,43735.48,Education,2,0,0
Ms. Erin Hernandez DDS,60,8,40766.38,338,39374.51,Home,4,0,0
Jason Cook,22,0,94002.23,748,7436.81,Business,0,0,0
Tammy George,54,17,132782.82,574,41482.33,Education,2,0,0
Corey Bennett,22,2,65966.76,499,9475.26,Business,2,0,0
Ethan Chavez,28,0,57992.67,340,32002.47,Education,2,0,0
Michael Moran,60,15,121584.89,801,34932.52,Business,2,0,1
Deborah Roberts,26,1,25821.07,768,49288.94,Home,3,0,0
Casey Chavez,62,10,77856.56,519,33747.15,Education,3,0,0
Kari Gill,47,3,43094.11,714,13066.95,Personal,5,1,0
Carl Turner,41,17,129316.04,848,11979.59,Car,2,1,1
Kristin Gray,46,15,135686.92,790,17569.27,Car,5,0,0
Micheal Peterson,25,2,142788.75,415,8533.14,Personal,3,1,0
William Jones,31,4,128989.93,532,30728.93,Home,0,0,0
Michelle Miller,21,0,111825.9,408,27403.14,Car,1,0,0
Megan Burton,45,20,75788.2,599,32681.04,Car,3,0,0
Andrew Duffy,21,0,139728.85,822,6419.3,Home,5,0,0
Shane Smith,56,33,22450.23,325,12636.9,Personal,5,0,0
Patricia Watts,50,21,74023.68,740,41417.1,Car,3,1,0
Elizabeth Villarreal,38,15,127251.74,506,29744.63,Education,2,1,0
Jennifer Kerr,46,13,130795.29,335,44439.79,Car,2,1,0
Richard Sloan,58,25,86933.25,364,8297.43,Education,5,0,0
David Washington,40,4,112807.24,825,9684.11,Home,1,1,0
Julia Adams,32,6,139254.82,510,23396.11,Home,4,0,0
Mark Wilson,22,1,74389.25,549,6756.37,Personal,4,1,0
George Richardson,45,5,48955.68,572,23408.63,Car,2,0,0
Crystal Drake,58,26,29635.87,558,40009.6,Education,2,1,0
Frank Garcia,24,3,35910.54,404,40237.96,Education,0,1,0
Joseph Skinner,48,1,52759.5,688,35529.12,Business,3,1,0
Samantha Pacheco,59,34,110477.68,838,23181.6,Business,4,0,1
Aaron Baker MD,27,4,145954.0,403,46675.15,Car,4,0,0
Arthur Wright,61,9,85044.04,614,43838.28,Education,5,0,0
Kimberly Gaines,42,19,50777.72,632,49717.45,Personal,4,1,0
Tiffany Jensen,54,11,33518.65,426,42083.13,Business,1,0,0
Rebecca Jimenez,33,4,141970.74,305,27012.09,Personal,4,1,0
Paul Huerta,58,19,45073.71,581,7456.15,Business,2,1,0
Steve Smith,55,2,49981.29,476,42775.94,Car,3,0,0
Jerry Hoffman,30,9,67370.17,666,21497.97,Home,1,0,0
Brandon Reed,60,28,21220.46,685,24218.64,Personal,4,1,0
Alison Morris,30,10,86788.47,615,21936.96,Business,5,1,0
Jennifer Willis,49,5,38564.91,391,49858.3,Personal,3,0,0
Cynthia Scott,28,2,68164.66,309,10528.81,Business,2,1,0
Alejandro Castillo,44,2,81512.8,730,16769.95,Business,4,0,0
William Smith,30,5,88594.28,529,35634.04,Personal,2,1,0
Roberta Ryan,31,2,89000.92,837,34485.15,Business,2,0,0
Andrew Larson,41,14,90947.35,716,5378.41,Home,4,0,0
Zachary Mathis,54,10,96950.28,606,32971.02,Education,3,0,0
Jane Johnson,56,9,80604.01,716,10690.92,Car,3,1,0
Dawn Butler,47,5,133638.17,630,18754.41,Education,1,0,1
Diana Cox,55,3,130465.31,479,6846.19,Education,1,0,0
David Lutz,54,28,41663.35,518,26108.21,Personal,4,1,0
Jason Robertson,28,6,125519.31,591,23447.45,Business,2,1,0
Melissa Hammond,47,21,111904.46,367,24166.58,Education,0,0,0
Michael Garcia,33,5,84742.53,696,18984.71,Business,5,0,0
Sarah Hardy,35,7,22844.71,586,47648.66,Home,2,0,0
Bonnie Murray,25,4,53837.51,446,10380.2,Home,4,1,0
Michelle Mclean,30,9,138657.13,569,46821.11,Personal,0,0,1
Joseph Vargas,65,30,57496.69,825,47297.72,Car,0,0,1
Nathan Burch,29,6,46577.13,526,42970.24,Education,4,1,0
Kathryn Fox,40,17,87570.29,625,8042.52,Car,4,0,0
Susan Fox,23,3,82006.06,346,32007.3,Personal,5,1,0
Stephanie Harris,26,2,41333.42,602,8673.75,Car,3,1,0
Nathan Williamson,38,18,136724.06,419,41917.4,Business,5,1,0
Jacob Moreno,29,3,35593.12,844,7980.12,Car,0,1,0
Matthew Preston,59,27,43562.16,437,24117.38,Business,3,0,0
Denise Ford,40,8,59648.89,590,20760.75,Car,4,1,0
Robert Johnson,47,20,28280.16,666,35904.95,Home,5,0,0
Gloria Jarvis,31,3,49154.93,500,9722.48,Personal,3,0,0
Steven Miller,60,30,42661.85,848,16828.62,Home,2,1,0
Willie Crane,40,13,48507.25,378,40814.46,Business,4,0,0
Devon Tanner,23,0,29469.36,804,23220.12,Home,0,0,0
Jeffrey Johnston,36,14,149129.74,474,25225.22,Education,3,1,0
Chad Rodriguez,40,1,145763.09,544,32975.36,Car,4,0,0
David Parker,50,4,135262.13,321,17697.46,Car,2,1,0
Ricky Herring,53,27,34291.25,524,8588.7,Home,0,1,0
Joseph Williams,22,2,71285.36,305,37132.85,Education,5,1,0
Catherine Brown,62,5,53389.15,409,7669.49,Home,2,1,0
Christopher Chambers,55,4,101326.63,690,21266.9,Business,3,0,0
Lacey Davis,51,21,97863.41,586,20579.68,Home,0,0,1
Stacey Webb,64,35,119105.26,726,17782.07,Education,3,1,0
Renee Simpson,56,1,74834.45,515,34671.55,Car,4,1,0
Charles Yoder,31,6,106454.49,301,44694.46,Personal,5,0,0
Cristian Bass,27,7,92349.38,390,5690.94,Education,5,0,0
Cindy Coleman,50,20,119585.04,747,19372.79,Business,1,1,1
Mikayla Kelly,54,5,142172.22,825,29696.22,Personal,4,0,1
Angela Baker,49,5,72680.36,407,13866.24,Education,3,1,0
Marie Edwards,26,6,146911.53,569,27737.19,Business,4,1,0
Laura Smith,60,1,145452.09,408,33531.16,Home,2,0,0
James Gilbert,45,8,99777.47,384,36459.45,Business,0,0,0
Shawn Trevino,27,0,105079.69,789,42090.56,Personal,1,1,0
Mr. Michael Salas MD,53,7,52468.61,532,44749.18,Home,1,1,0
Katherine Hanna,34,12,110022.63,494,20095.11,Business,3,1,0
Peter Clark,29,8,54745.62,718,17672.26,Education,1,0,0
Natalie James,51,22,82498.95,554,47037.33,Home,5,1,0
Diane Smith,50,4,56518.44,596,18941.24,Education,0,1,0
Hunter Fisher,30,9,108388.99,824,35008.57,Personal,0,0,1
Lauren Sanchez,26,3,37812.95,666,20168.99,Personal,5,1,0
Joseph Gay,55,8,127364.18,598,34628.77,Business,2,1,0
Alicia Perkins,45,23,143334.08,760,38478.13,Personal,4,1,0
Christopher Friedman,39,7,105889.16,740,15986.48,Education,3,1,0
Stephanie Black,62,26,76947.22,740,21822.82,Education,5,1,0
Darryl Hogan,60,22,87141.69,677,33998.32,Personal,5,0,0
Joshua Martin,29,4,63896.01,746,43012.96,Car,3,1,0
Karen Wilkins,24,0,139965.04,370,6307.85,Business,3,0,0
Sarah Peterson,28,4,125253.04,689,31289.48,Personal,5,0,0
Nicholas Wilson,60,9,98542.63,486,35653.73,Home,0,0,0
Alexander Bishop,37,5,24550.76,396,29102.19,Education,3,1,0
Ryan Franco,46,16,75822.18,490,8813.97,Education,5,1,0
Mark Christensen,62,23,27093.08,474,47149.21,Car,4,0,0
Kevin Brandt,50,15,57360.11,778,26897.24,Car,2,1,0
Robert Jimenez,38,10,97665.84,440,19179.54,Education,0,0,0
Diana Shea,52,5,114022.3,569,22062.13,Education,4,1,0
Dana House,21,1,80419.91,628,8493.32,Business,4,1,0
Diamond Smith,62,33,65079.48,747,8828.14,Education,1,0,1
Carrie Coleman,35,9,39851.04,721,25533.85,Personal,2,0,0
Veronica Allen,47,11,91897.41,513,19139.29,Personal,5,0,0
Lori Miller,21,1,115249.03,593,22825.2,Car,1,0,0
Desiree Payne,51,26,148884.31,508,14808.22,Business,1,1,0
Melissa Gonzalez,56,35,80035.25,519,42804.58,Business,3,0,0
Jason Jackson,60,12,112966.44,722,6414.71,Car,5,1,0
Daniel Meyer,45,10,147588.99,750,41182.42,Education,1,1,1
Lauren Khan,44,0,60997.13,512,7576.57,Home,3,0,0
Jacob Foley,30,6,58957.51,575,9898.97,Business,5,0,0
Michael James DDS,36,0,133607.73,697,10613.99,Education,3,0,0
Mr. Cody Harris,27,1,128217.52,311,12214.87,Business,3,0,0
Rose Burns,48,5,134762.77,729,36849.21,Education,3,0,0
Danny Johnson,41,15,132030.88,783,14691.86,Home,3,0,1
Stephanie Price,32,8,127092.97,399,47595.85,Car,4,0,0
Tim Powell,64,9,77430.77,630,14042.31,Home,3,1,0
Christopher George,49,1,92666.23,821,28251.82,Business,5,1,0
Patrick Bennett,44,22,66162.64,303,34585.26,Education,2,1,0
Alyssa Long,42,17,37223.83,811,22463.22,Education,3,0,0
Nathan Fleming,60,14,73095.9,601,17871.96,Education,4,1,0
James Holland,60,17,79294.57,410,5760.2,Business,3,1,0
John Gibbs,34,6,71920.53,598,8994.31,Home,4,0,0
Daniel Estrada,53,26,146228.62,562,48450.99,Personal,1,0,1
Katherine Huang,60,37,129088.31,788,23979.02,Car,5,0,1
William Cruz,56,1,36564.46,350,15846.72,Education,4,1,0
Mary Meyers,59,23,46762.56,768,44395.21,Business,3,1,0
Danny Fuentes,40,18,59518.19,532,8650.8,Business,4,1,0
Tyler Ali,35,15,24747.05,368,36198.1,Education,3,0,0
Micheal Manning,47,18,110103.55,534,44909.67,Education,3,1,0
Krystal Smith,38,6,38344.33,781,10519.19,Education,3,1,0
Vincent Green,51,5,99296.78,356,13740.73,Car,0,1,0
Garrett Weber,65,21,21002.57,594,18063.33,Car,5,1,0
Travis Kelly,36,4,32061.96,423,36149.0,Business,4,0,0
Richard Johnson,39,2,41464.69,534,48455.2,Personal,3,1,0
Leah Jackson,37,0,46028.59,537,25113.99,Education,0,0,0
Crystal Nielsen,43,9,48641.92,757,20813.42,Business,3,1,0
Alexis Thomas,45,2,111640.21,824,30375.4,Business,5,1,0
Jennifer Rose,41,15,47264.6,741,45791.76,Home,4,1,0
Derrick Moss,56,7,51384.75,540,8962.71,Personal,5,0,0
Leslie Yates,52,28,80954.44,595,35382.62,Personal,1,0,0
Matthew Davis,21,1,68114.17,723,5884.2,Personal,3,0,0
Mrs. Laura Gonzalez,33,3,68469.57,482,26743.49,Education,2,1,0
Angela Holder,21,0,108740.84,315,8994.98,Education,2,1,0
Amanda Jimenez,43,4,143850.9,525,6977.28,Home,5,1,0
Carlos Fritz,54,15,118050.61,557,7415.22,Business,2,0,0
Robin Coleman,21,0,42202.12,451,30790.3,Car,2,0,0
Jennifer Greer,48,10,108812.16,676,33128.0,Home,5,0,0
Robert Hoover,47,8,104229.73,757,29538.7,Personal,4,1,0
Jason Myers,53,33,100662.41,504,42622.28,Personal,0,1,0
Alyssa Simon,55,19,77745.47,713,17274.12,Car,3,0,0
Casey Cunningham,40,15,118915.12,547,21170.99,Personal,5,1,0
Stephen Gilbert,61,2,87700.83,824,10425.37,Personal,4,1,0
Samantha Banks,61,19,126128.18,354,30182.8,Personal,0,0,0
Marcia Joyce,49,12,115353.28,514,36858.62,Home,4,1,0
Shannon Chavez,42,9,97814.41,305,9355.28,Business,5,1,0
Brenda Turner,33,7,127335.36,429,23646.44,Business,1,1,0
Michelle King,43,5,66497.17,674,39917.25,Education,2,1,0
James Villa,21,0,65510.24,754,22719.75,Car,4,0,0
Joshua Woods,58,8,56833.47,392,24523.5,Car,3,0,0
Matthew Lopez,59,7,66469.44,837,29738.31,Education,1,0,0
Marcus Mitchell,53,16,120745.09,474,18233.1,Home,1,1,0
Jennifer Cline,27,0,26360.0,730,31330.98,Business,4,0,0
Brian Washington,57,23,90927.51,787,35139.35,Business,3,0,0
Anthony Jones,61,22,54118.67,540,7481.79,Personal,3,0,0
Charles Morrison,57,29,142844.2,443,19270.42,Car,0,1,0
Michael Williams,23,1,113646.9,422,40753.71,Personal,0,1,0
Jacqueline Lee,24,3,93826.67,442,19961.58,Personal,0,0,0
Monica Barton,50,24,120999.89,753,35324.0,Education,5,0,0
David Bell,51,10,20499.38,753,18226.73,Home,1,0,0
John Smith,65,32,110363.45,321,25707.88,Personal,4,0,0
Gary Lewis,38,4,62404.27,683,15231.42,Personal,5,0,0
James Mcintyre,58,16,115535.74,395,18241.6,Business,2,1,0
Toni Weaver,32,8,141707.89,388,22463.36,Car,0,0,0
Stephanie Stokes,46,21,127004.62,660,17213.0,Car,2,0,1
Dr. Keith Thomas,28,6,47528.78,480,14097.89,Home,4,1,0
Pamela Hernandez,53,15,106005.83,564,14112.43,Education,1,0,0
William Fitzgerald,25,0,104651.74,499,46254.6,Education,5,0,0
Kevin Dixon,41,12,87002.01,634,7610.51,Business,5,0,0
Tracy Williamson,58,8,37339.43,482,47592.21,Education,0,1,0
Ashley Powell,56,2,124571.04,665,20580.37,Business,2,0,0
Jennifer Sellers,64,11,115531.06,719,7523.48,Home,0,1,0
Michael Valencia,55,34,140512.73,838,7501.28,Personal,4,0,1
Kathy Brown,42,0,80620.33,440,17628.08,Personal,1,1,0
Andrew Hall,52,28,89282.9,475,38822.62,Personal,5,1,0
Michelle Madden,57,16,50946.82,593,5328.25,Home,5,0,0
Daniel Anderson,63,34,69029.99,736,47512.23,Personal,0,0,1
Shelby Curtis,26,1,74153.04,340,44779.83,Home,3,0,0
Dylan Williams,27,3,130677.15,782,47137.21,Home,5,0,0
Michael Leach,51,30,128007.19,529,23731.63,Personal,3,0,0
Todd Zuniga,21,1,71471.26,371,20962.64,Home,3,1,0
Courtney Collins,34,10,26344.58,525,23772.07,Business,1,1,0
Patrick Olson,23,0,111937.96,700,8309.73,Education,1,1,0
Jennifer Logan,45,2,146896.46,510,17860.61,Personal,2,0,0
Sean Wang,37,2,126466.58,536,39776.96,Personal,3,0,0
Carrie Oneill PhD,22,1,78134.77,750,28489.2,Business,3,0,0
Cheryl Wilson,44,20,95409.42,535,48455.3,Car,0,1,0
